来源,reason,原始相对路径,duration_sec,rms
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363169390000000008_333_2785697.wav,5.42,0.08022
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363172860000000005_333_2786522.wav,5.41,0.10178
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009034760000000005_333_2789478.wav,4.98,0.11638
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363156360000000005_333_2784431.wav,5.15,0.12421
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363021840000000003_333_2781580.wav,5.16,0.1614
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009026250000000004_333_2788640.wav,5.14,0.1252
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363073070000000006_333_2782332.wav,5.45,0.12817
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363134550000000004_333_2783277.wav,5.11,0.11765
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363009730000000002_333_2781390.wav,5.11,0.12022
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363029660000000005_333_2781756.wav,5.11,0.10004
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363179200000000009_333_2787080.wav,5.16,0.0888
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363159620000000001_333_2784692.wav,5.31,0.10961
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326010014580000000007_333_2790310.wav,5.26,0.10986
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363022440000000003_333_2781651.wav,5.17,0.11121
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009026280000000007_333_2788666.wav,5.11,0.15623
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363169830000000002_333_2785868.wav,5.26,0.07497
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009025890000000008_333_2788442.wav,4.99,0.1251
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326010012180000000007_333_2789889.wav,5.41,0.16196
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363166250000000004_333_2785178.wav,4.97,0.1473
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363168220000000001_333_2785503.wav,5.14,0.24164
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363173010000000000_333_2786612.wav,5.29,0.10818
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363170790000000008_333_2785967.wav,5.04,0.09265
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363171070000000006_333_2786033.wav,5.26,0.12688
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363179050000000004_333_2787071.wav,5.0,0.12248
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363161530000000002_333_2784935.wav,5.16,0.08355
